Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
MT-ND4L	"MTND4L, NAD4L, ND4L"	ENSG00000212907	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L"	P03901	MT	10470-10766	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Disease variant, Leber hereditary optic neuropathy, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 132930.7;heart muscle: 145078.7"	"Cell type enriched"	"Detected in all"	5	"Cardiomyocytes: 27304.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA075648			Approved	Centrosome,Mitochondria,Cytosol		NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Mitochondria	"Centrosome, Cytosol"	"HPA075648: AB_2686760"	"unprognostic (5.81e-2)"	"unprognostic (3.46e-2)"	"unprognostic (2.76e-2)"	"unprognostic (7.91e-2)"	"unprognostic (5.64e-2)"	"unprognostic (1.05e-1)"	"prognostic favorable (4.47e-4)"	"unprognostic (1.97e-1)"	"unprognostic (4.04e-2)"	"unprognostic (4.63e-3)"	"unprognostic (6.61e-2)"	"unprognostic (7.38e-3)"	"unprognostic (1.39e-1)"	"unprognostic (3.09e-1)"	"unprognostic (3.73e-1)"	"unprognostic (2.97e-2)"	"unprognostic (5.68e-2)"
MT-ND5	"MTND5, NAD5, ND5"	ENSG00000198786	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5"	P03915	MT	12337-14148	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Disease variant, Leber hereditary optic neuropathy, Leigh syndrome, MELAS syndrome, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 25147.7;heart muscle: 26116.9;skeletal muscle: 25697.4"	"Cell type enriched"	"Detected in all"	4	"Cardiomyocytes: 32207.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast), Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (2.87e-1)"	"unprognostic (3.18e-2)"	"unprognostic (3.00e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.99e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.07e-3)"	"unprognostic (5.09e-3)"	"unprognostic (1.06e-2)"	"unprognostic (3.01e-1)"	"unprognostic (3.29e-3)"	"unprognostic (4.78e-2)"	"prognostic favorable (7.31e-5)"	"unprognostic (9.93e-3)"	"unprognostic (8.75e-2)"	"unprognostic (1.26e-2)"	"unprognostic (3.68e-2)"
MT-ND6	"MTND6, NAD6, ND6"	ENSG00000198695	"Mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6"	P03923	MT	14149-14673	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"	Translocase	"Disease variant, Dystonia, Leber hereditary optic neuropathy, Leigh syndrome, MELAS syndrome, Primary mitochondrial disease"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 35802.7;skeletal muscle: 57879.2"	"Cell type enriched"	"Detected in many"	9	"Cardiomyocytes: 12019.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"									NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (1.96e-1)"	"unprognostic (3.27e-1)"	"unprognostic (2.28e-1)"	"unprognostic (1.13e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.22e-2)"	"unprognostic (1.03e-3)"	"unprognostic (6.02e-3)"	"unprognostic (1.68e-2)"	"unprognostic (1.48e-1)"	"unprognostic (6.06e-3)"	"unprognostic (2.91e-1)"	"prognostic favorable (8.91e-6)"	"unprognostic (3.64e-2)"	"unprognostic (1.42e-2)"	"unprognostic (1.15e-2)"	"unprognostic (2.92e-2)"
MYL3	"CMH8, MLC1SB, MLC1V, VLC1"	ENSG00000160808	"Myosin light chain 3"	P08590	3	46835111-46882172	"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Motor protein, Muscle protein, Myosin"	"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 9155.0;skeletal muscle: 5135.3;tongue: 2074.2"	"Cell type enriched"	"Detected in some"	16	"Cardiomyocytes: 4627.2"	"Group enriched"	"Detected in many"	4	"head and neck cancer: 3.0;prostate cancer: 3.4;renal cancer: 8.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"liver cancer: 7.8"	"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA016564, CAB018662, HPA046859, HPA063034"	Enhanced		Approved	Nucleoli,Mitochondria		NA	NA		7300000	"Cluster 29: Plasmacytoid DCs - Unknown function"	"Cluster 38: Heart - Muscle contraction"	"Cluster 6: BEWO - Unknown function"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Nucleoli, Mitochondria"		"CAB018662: AB_627952, HPA016564: AB_1854244, HPA046859: AB_2679842, HPA063034: AB_2684927"	"unprognostic (3.11e-1)"	"unprognostic (2.64e-2)"	"unprognostic (5.55e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.77e-1)"	"unprognostic (4.44e-2)"	"unprognostic (9.67e-3)"	"unprognostic (3.37e-2)"	"unprognostic (4.72e-3)"	"unprognostic (3.63e-2)"	"unprognostic (1.08e-1)"	"unprognostic (7.88e-2)"	"prognostic favorable (1.22e-8)"	"unprognostic (1.16e-3)"	"unprognostic (9.45e-3)"	"unprognostic (7.18e-5)"	"unprognostic (2.53e-3)"
MYO18B	BK125H2.1	ENSG00000133454	"Myosin XVIIIB"	Q8IUG5	22	25742144-26031045	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Actin-binding, Motor protein, Myosin"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 120.8;skeletal muscle: 262.7;tongue: 55.6"	"Group enriched"	"Detected in some"	16	"Cardiomyocytes: 83.0;Early spermatids: 49.9;Late spermatids: 41.2;Skeletal myocytes: 62.4"	"Cancer enhanced"	"Detected in some"		"head and neck cancer: 0.8"	"Region enhanced"	"Detected in single"		"thalamus: 2.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Leukemia: 11.7;Sarcoma: 7.2"	"Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA000953	Uncertain		Supported	Nucleoplasm,Centrosome		NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Nucleoplasm, Centrosome"		"HPA000953: AB_1079440"	"unprognostic (3.28e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.86e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.66e-2)"	"unprognostic (1.01e-2)"	"unprognostic (5.93e-4)"	"unprognostic (2.46e-1)"	"unprognostic (1.22e-1)"	"unprognostic (7.14e-2)"	"unprognostic (4.36e-3)"	"unprognostic (2.96e-3)"	"unprognostic (3.93e-7)"	"unprognostic (1.14e-1)"	"unprognostic (3.12e-1)"	"unprognostic (5.06e-2)"	"unprognostic (1.65e-1)"
MYOZ2	"C4orf5, CS-1, FATZ-2"	ENSG00000172399	"Myozenin 2"	Q9NPC6	4	119135832-119187789	"Disease related genes, Predicted intracellular proteins"			"Cardiomyopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 771.4;skeletal muscle: 225.5;tongue: 173.4"	"Cell type enriched"	"Detected in some"	39	"Cardiomyocytes: 3128.7"	"Cancer enhanced"	"Detected in some"		"head and neck cancer: 1.7"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"Rhabdoid: 1.2;Sarcoma: 3.4;skin cancer: 3.6;testis cancer: 1.0"	"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Smooth muscle cells, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA035763, HPA035764"	Enhanced		Approved	Nucleoplasm,Cytosol		NA	NA				"Cluster 38: Heart - Muscle contraction"	"Cluster 33: Skin cancer - Membrane components"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Nucleoplasm, Cytosol"		"HPA035763: AB_2674770, HPA035764: AB_10696509"	"unprognostic (2.53e-1)"	"unprognostic (9.20e-2)"	"unprognostic (6.94e-2)"	"unprognostic (2.14e-1)"	"unprognostic (2.57e-1)"	"unprognostic (2.34e-2)"	"unprognostic (5.71e-1)"	"unprognostic (2.18e-1)"	"unprognostic (4.77e-2)"	"unprognostic (4.04e-1)"	"unprognostic (8.25e-2)"	"unprognostic (5.07e-2)"	"unprognostic (6.19e-7)"	"unprognostic (6.66e-4)"	"unprognostic (2.43e-1)"	"unprognostic (3.06e-1)"	"unprognostic (2.83e-2)"
MYPN	MYOP	ENSG00000138347	Myopalladin	Q86TC9	10	68106117-68212017	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		Actin-binding	"Cardiomyopathy, Disease variant, Nemaline myopathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 64.1;skeletal muscle: 283.6;tongue: 172.8"	"Group enriched"	"Detected in some"	6	"Cardiomyocytes: 126.5;Skeletal myocytes: 94.0"	"Cancer enriched"	"Detected in single"	7	"head and neck cancer: 0.9"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	6	"basophil: 1.4"	"Lineage enriched"	"Detected in single"	14	"granulocytes: 1.4"	"Cancer enhanced"	"Detected in many"		"Rhabdoid: 10.2"		"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA036299, HPA061494"	Enhanced		Supported	Nucleoplasm,Vesicles,Cytosol		No	No			"Cluster 41: Basophils - Cellular respiration"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 77: Cardiomyocytes - Muscle contraction"	Nucleoplasm	"Vesicles, Cytosol"	"HPA036299: , HPA061494: AB_2684539"	"unprognostic (4.75e-2)"	"unprognostic (2.20e-1)"	"unprognostic (8.14e-3)"	"unprognostic (8.62e-3)"	"unprognostic (3.91e-1)"	"unprognostic (3.36e-3)"	"unprognostic (4.62e-2)"	"unprognostic (3.86e-2)"	"unprognostic (2.82e-1)"	"unprognostic (2.26e-3)"	"unprognostic (3.94e-3)"	"unprognostic (3.10e-1)"	"unprognostic (2.88e-8)"	"unprognostic (4.63e-5)"	"unprognostic (9.94e-2)"	"unprognostic (2.01e-1)"	"unprognostic (3.47e-1)"
MZT2A	"FAM128A, MOZART2A"	ENSG00000173272	"Mitotic spindle organizing protein 2A"	Q6P582	2	131464900-131492743	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 252.2"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 79.5"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"												"HPA051758, HPA052623"	Approved		Supported	Centrosome,Cytosol		NA	NA			"Cluster 52: Eosinophils - Transcription"	"Cluster 18: Non-specific - Mitochondria"	"Cluster 17: RS4;11 - Unknown function"	"Cluster 70: Basal prostatic cells - Lipid metabolism"	Centrosome	Cytosol	"HPA051758: , HPA052623: AB_2681888"	"prognostic favorable (3.04e-4)"	"unprognostic (3.82e-2)"	"unprognostic (7.14e-2)"	"unprognostic (1.78e-1)"	"unprognostic (5.39e-2)"	"unprognostic (5.32e-2)"	"unprognostic (1.99e-2)"	"unprognostic (2.44e-2)"	"unprognostic (6.47e-2)"	"unprognostic (3.55e-2)"	"unprognostic (2.16e-1)"	"unprognostic (3.72e-2)"	"prognostic unfavorable (3.04e-11)"	"unprognostic (1.51e-2)"	"unprognostic (5.55e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.66e-1)"
NAV2	"FLJ10633, FLJ11030, FLJ23707, HELAD1, KIAA1419, POMFIL2, RAINB1"	ENSG00000166833	"Neuron navigator 2"	Q8IVL1	11	19350724-20121601	"Enzymes, Predicted intracellular proteins"		"Helicase, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 55.7;heart muscle: 61.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 452.3;Excitatory neurons: 329.1;Inhibitory neurons: 513.4;Oligodendrocyte precursor cells: 827.0;Oligodendrocytes: 334.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011755, HPA011891"	Approved		Supported	Nucleoplasm		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 10: Neurons & Oligodendrocytes - Nervous system development"	Nucleoplasm		"HPA011755: AB_1854319, HPA011891: AB_1854318"	"unprognostic (7.71e-2)"	"unprognostic (2.37e-1)"	"unprognostic (1.29e-1)"	"unprognostic (1.02e-1)"	"unprognostic (3.01e-1)"	"unprognostic (1.76e-3)"	"unprognostic (3.01e-2)"	"unprognostic (3.86e-2)"	"unprognostic (1.54e-1)"	"unprognostic (1.00e-1)"	"unprognostic (3.53e-3)"	"unprognostic (1.84e-1)"	"unprognostic (2.83e-2)"	"unprognostic (3.85e-2)"	"unprognostic (1.08e-1)"	"unprognostic (6.43e-2)"	"unprognostic (3.28e-2)"
NCAM1	"CD56, NCAM"	ENSG00000149294	"Neural cell adhesion molecule 1"	P13591	11	112961247-113278436	"Cancer-related genes, CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Cell adhesion, Host-virus interaction"	"Host cell receptor for virus entry, Receptor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 290.1;heart muscle: 145.5"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 514.3;Excitatory neurons: 454.5;Inhibitory neurons: 430.4;Oligodendrocyte precursor cells: 899.2;Oligodendrocytes: 956.8;Schwann cells: 253.4"	"Cancer enriched"	"Detected in many"	8	"glioma: 31.0"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	15	"NK-cell: 53.7"	"Lineage enriched"	"Detected in many"	15	"NK-cells: 53.7"	"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 117.9"	"Adipose subcutaneous - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB000142, CAB018071, HPA039835"	Enhanced		Enhanced	"Plasma membrane,Cytosol"	"Secreted in other tissues"	NA	NA	1200000	2300000000	"Cluster 48: NK-cells - Unknown function"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 10: Neurons & Oligodendrocytes - Nervous system development"	"Plasma membrane"	Cytosol	"CAB000142: , CAB018071: AB_627129, HPA039835: AB_2676705"	"unprognostic (7.04e-2)"	"unprognostic (1.16e-1)"	"unprognostic (2.77e-2)"	"unprognostic (2.18e-2)"	"unprognostic (2.91e-1)"	"unprognostic (1.74e-3)"	"unprognostic (2.82e-1)"	"unprognostic (4.42e-3)"	"unprognostic (2.13e-1)"	"unprognostic (1.63e-2)"	"prognostic favorable (9.11e-6)"	"unprognostic (8.13e-2)"	"prognostic unfavorable (8.20e-4)"	"unprognostic (2.97e-2)"	"unprognostic (2.24e-1)"	"unprognostic (3.75e-2)"	"unprognostic (5.82e-5)"
NDRG4	"KIAA1180, SMAP-8"	ENSG00000103034	"NDRG family member 4"	Q9ULP0	16	58462846-58513628	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 380.7;heart muscle: 352.7"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 313.6;Excitatory neurons: 94.4;Horizontal cells: 298.7;Inhibitory neurons: 92.2;Muller glia cells: 72.5;Sertoli cells: 88.5"	"Cancer enriched"	"Detected in many"	6	"glioma: 23.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in all"	4	"Neuroblastoma: 62.9;Rhabdoid: 36.1"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA015313, HPA017587"	Enhanced		Uncertain	Nucleoplasm,Cytosol		NA	NA				"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 77: Cardiomyocytes - Muscle contraction"	"Nucleoplasm, Cytosol"		"HPA015313: AB_1854343, HPA017587: AB_1854344"	"unprognostic (1.52e-1)"	"unprognostic (1.30e-1)"	"unprognostic (9.03e-3)"	"unprognostic (1.59e-2)"	"unprognostic (3.97e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.82e-3)"	"unprognostic (1.56e-1)"	"unprognostic (6.07e-2)"	"unprognostic (1.02e-1)"	"unprognostic (4.84e-3)"	"unprognostic (5.98e-2)"	"unprognostic (2.27e-2)"	"unprognostic (1.22e-2)"	"unprognostic (8.51e-2)"	"unprognostic (4.45e-2)"	"unprognostic (7.17e-2)"
NDUFA3	B9	ENSG00000170906	"NADH:ubiquinone oxidoreductase subunit A3"	O95167	19	54102728-54109257	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Electron transport, Respiratory chain, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 625.9;skeletal muscle: 492.4"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 1969.3;Distal tubular cells: 1128.8;Late spermatids: 1781.1;Proximal tubular cells: 1367.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Testis - Late spermatids"	"Low region specificity"	"Detected in all"							HPA046976	Supported					NA	NA			"Cluster 11: Basophils - Unknown function"	"Cluster 18: Non-specific - Mitochondria"	"Cluster 39: Non-specific - Unknown function"	"Cluster 51: Late spermatids - Spermatogenesis"			"HPA046976: AB_10960994"	"unprognostic (3.04e-2)"	"unprognostic (4.12e-3)"	"unprognostic (9.53e-2)"	"unprognostic (5.95e-2)"	"unprognostic (6.73e-2)"	"unprognostic (3.14e-2)"	"unprognostic (3.91e-1)"	"unprognostic (3.05e-1)"	"unprognostic (2.95e-1)"	"unprognostic (2.00e-2)"	"prognostic favorable (9.65e-4)"	"unprognostic (9.91e-2)"	"unprognostic (3.24e-3)"	"unprognostic (7.79e-2)"	"unprognostic (1.33e-1)"	"unprognostic (7.24e-2)"	"prognostic favorable (4.80e-4)"
